,Item,,Rarity,,Value,,Range,,Demand,,Stability,,Obtainability
,Great Blue,,Epic,,"2,000",,"2,000",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Stacked Gem Crate,,Epic,,"2,000",,"2,000",,Low,,Stable,,Festive Gift
,,,,,,,,,,,,,
,Ghost-Zatoichi,,Epic,,"2,000",,"2,000",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Sanic Knife,,Epic,,800,,800,,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Hell Knife,,Epic,,666,,666,,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Particle Knife,,Epic,,500,,500,,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Desperado,,Rare,,"3,000",,"3,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Name Tag,,Rare,,"2,500",,"2,500",,Normal,,Stable,,Shop / Mystery Crates
,,,,,,,,,,,,,
,Azure,,Rare,,"2,500",,"2,500",,Low,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Barbedwire,,Rare,,"2,000",,"2,000",,Low,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Mystery Crates #1,,Rare,,"1,500",,"1,500  -  2,500",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Hurricane Map,,Rare,,500,,500,,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Danger,,Rare,,500,,500,,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Class clown,,Rare,,500,,500,,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Binary,,Rare,,500,,500,,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Mystery Crates,,Common,,750,,"500  - 1,000",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Every Common,,Common,,125,,125,,Low,,Stable,,Mystery Crates
